text,label
"JERUSALEM (Reuters) - Interpol voted on Wednesday to admit the State of Palestine as a member over Israeli objections at the international police organization s general assembly in Beijing. The decision came despite Israeli efforts to delay a vote and Prime Minister Benjamin Netanyahu said in a statement that the Palestinians  joining the global police agency contravened signed agreements with Israel. Israel had argued that Palestine is not a state and that it  is ineligible to join. Under interim Israeli-Palestinian peace deals, a Palestinian Authority was granted limited self-rule in the occupied West Bank and the Gaza Strip. Shortly before the vote in the Chinese capital, the Israeli Foreign Ministry said Israel s efforts to delay the ballot until next year had failed.   This victory was made possible because of the principled position of the majority of Interpol members,  Palestinian Foreign Minister Riyad al-Maliki said in a statement. Interpol said membership applications by the State of Palestine and the Solomon Islands were approved at its annual general assembly by more than the required two-thirds majority of votes. The organization now has 192 members. A Palestinian bid to join last year, at an Interpol conference in Indonesia, was foiled by what Israel said was its diplomatic campaign against it. In 2012, the U.N. General Assembly upgraded the Palestinian Authority s observer status at the United Nations to  non-member state  from  entity , like the Vatican. The step fell short of full U.N. membership, but it had important legal implications in enabling the Palestinians to join the International Criminal Court and other world bodies.    Netanyahu s statement said Palestinian membership of Interpol was one of the issues discussed during a meeting with U.S. President Donald Trump s Middle East envoy, Jason Greenblatt, who is visiting the region.   Netanyahu also raised the Palestinian refusal to condemn an attack on Tuesday in which a Palestinian laborer shot dead three Israeli guards in the Israeli-occupied West Bank.  The actions of the Palestinian leadership in the past few days directly harm the prospects of achieving peace and the Palestinian diplomatic offensive will not go unanswered,  the statement said. Some Israeli media commentators have voiced concern that as an Interpol member, Palestine could ask the organization to issue a  Red Notice , an alert to police worldwide to locate and provisionally arrest an individual, pending extradition. But the procedure does not appear to pose serious legal problems for Israelis such as government officials and military officers whom pro-Palestinian groups have sought to have arrested by local authorities as suspected war criminals during overseas visits. A red notice is not an international arrest warrant, and on its website Interpol notes that it cannot compel any member country to detain an individual named in one. ",1
"RIMINI, Italy (Reuters) - The new leader of Italy s anti-establishment 5-Star movement says it is not a populist party and will make cutting waste and reducing debt its priority. 5-Star, which leads most opinion polls ahead of national elections due early next year, has been trying to shed its maverick, populist image and reassure foreign capitals that it can be trusted with power. Luigi Di Maio, the 31-year-old lawmaker picked on Saturday to lead the movement, told Reuters on Sunday that 5-Star stood for  post ideological  common sense, and was opposed to right-wing and left-wing extremism.  I reject populism as a label for 5-Star,  he said in an interview on the sidelines of the party s annual gathering in Rimini, on the Adriatic coast. 5-Star, founded by comedian Beppe Grillo nine years ago as a protest movement, bases its appeal mainly on opposition to corruption and vested interests. Boyish-looking and usually immaculately turned out in suit and tie, Di Maio presents a more moderate image than Grillo, who is famous for raucous tirades against the ruling elite. He had been groomed for the leadership by Grillo, who is 69 and now plans to withdraw gradually from his figurehead role. Di Maio said many of the party s proposals, such as a public bank to fund investments, had been adopted with success by mainstream parties in Northern Europe which he wanted to emulate. He said that, if 5-Star won next year s election, due by May, he would try to negotiate changes to European Union fiscal rules to allow Italy to invest more to boost its stagnant economy. However, he said he would also cut waste, arguing that this was the best way to bring down Italy s huge public debt, forecast to be just under 132 percent of GDP this year, the highest in the euro zone after Greece s.  We have brought down debt in every town and city where 5-Star governs. We will do that at the national level too,  he said. 5-Star has rowed back from a pledge to hold a referendum on Italy s membership of the euro and now says this would only be a last resort if the EU rejects any reforms to current budget rules. Di Maio, who comes from Italy s poor south and entered parliament at 26 five years ago, after mostly doing odd jobs and internet marketing, dismissed the suggestion that he was too inexperienced to be prime minister.  I came from a part of Italy with 60 percent youth unemployment, and people who sneer at my background are sneering at thousands of young Italians who are trying to create a future for themselves,  he said. The ability to build a competent team was the most important quality for a prime minister, Di Maio said, vowing to present a full cabinet line-up before the election. Asked to name three priorities that would mark his leadership of the party, Di Maio listed universal income support for the poor, cutting wasteful public spending and increasing forms of direct democracy. ",1
"When Ted Cruz announced Carly Fiorina as his running mate last week, it left many, many people scratching their heads. It d be like a football team getting their finger sizes measured for Super Bowl rings after they ve already been eliminated from making the playoffs. It just didn t make any sense whatsoever. It was clearly a move to try to get media attention (which worked) and in hopes of helping him win the Republican nomination (which it won t).Add to this how awkward of a pairing Cruz and Fiorina make. They go together like orange juice and toothpaste, where the only thing left will be the bitter taste left in everyone s mouths after witnessing their desperation.If you don t believe how awkward they are together, then by all means, witness it for yourselves.Here s Cruz trying to grab Fiorina s hand in the typical politician power pose with their running mate. Or in Cruz s case, his  running mate. Carly Fiorina Gives Ted Cruz a Hand (by @VicBergerIV) (Vine by @superdeluxe) https://t.co/au7opXLkro  Vic Berger IV (@VicBergerIV) April 27, 2016Now, add that together with the fact that both are heavily disliked amongst not only liberals, but conservatives as well, including many in Washington, and you have a recipe for utter failure. Unfortunately, Cruz is gonna have to learn this lesson the hard way, because common sense and candor are not his forte.Featured image via video screen capture",0
"FLINT, Mich. (Reuters) - Democratic presidential candidate Bernie Sanders told residents of Flint, Michigan, on Thursday their “horrific” water contamination crisis should be a wake-up call about the country’s crumbling infrastructure and required an emergency response. “If there is any silver lining out of this tragedy, it is my hope that the American people will look at Flint and say, ‘never again,’” Sanders said on his first campaign visit to the city, where a cost-saving decision to switch the water supply has led to a public health crisis from lead contamination. “We are looking at children being poisoned - if that is not an emergency, I just don’t know what an emergency is,” Sanders, a U.S. senator from Vermont, told about 300 people jammed into a Flint church for a meeting that at times featured a freewheeling exchange with shouting residents. Sanders, who has made his call for a $1 trillion investment in U.S. infrastructure a key part of his campaign agenda, said Flint’s water crisis illustrated the need for a long-term commitment to rebuilding dilapidated water systems across the country. “While Flint may be the canary in the coal mine, there are a lot of other canaries all around the country. The truth is our infrastructure is collapsing,” Sanders said. “I hope that out of the tragedy will come fundamental changes.” Sanders’ Democratic campaign rival, Hillary Clinton, visited the predominantly black city weeks ago and frequently highlights the crisis as an example of racial inequity as the two candidates vie for African-American support. Sanders has called for the resignation of Michigan Governor Rick Snyder, a Republican, and met recently with some Flint activists during a visit to Michigan. He told the Flint crowd that hearing their stories of suffering was “horrific.” “Clearly this is part of a long-term trend of starving communities of color,” he said. The crisis was triggered when a city manager installed by Snyder switched the city’s water supply from Lake Michigan to the nearby Flint River. The change corroded Flint’s aging pipes and released lead and other toxins into the water supply. President Barack Obama declared a state of emergency in Flint in January, authorizing federal emergency management officials to coordinate relief efforts. Lawmakers in Congress have wrestled with the size of a federal funding package to replace aging pipes. Sanders and Clinton will return to Flint on March 6 for their next nationally televised debate ahead of the Michigan primary on March 8.      (Editing by Tom Brown) This article was funded in part by SAP. It was independently created by the Reuters editorial staff. SAP had no editorial involvement in its creation or production.",1
"After Black Lives Matter hosted a  blacks-only  Memorial Day party, Tucker Carlson asked a BLM supporter why such an event is acceptable.Carlson said the party promoted segregation   the exact thing BLM purports to oppose. I thought the whole point of Black Lives matter was to speak out against singling out people based on race?  Carlson asked political commentator Lisa Durden. Boo-hoo, you white people are angry because you couldn t use your  white privilege  card to get invited to the Black Lives Matter all-black Memorial Day celebration,  Durden said. Carlson asked again why BLM would exclude others based on their race while they protest against such actions.   FOX News",0
"You can believe that if this incident with Iran kidnapping our sailors had happened under a Republican president, you would be hearing 24/7 about this. I digress, this wouldn t have happened if we had a president who had the least bit of a backbone. The entire incident is simply unbelievable! Here s a little background into the female sailor who is seen in the photos wearing a headscarf:This photograph violates international law. Article 13 of the Geneva Convention (III), governing the treatment of prisoners of war, requires Iran to protect prisoners against  insults and public curiosity. This photograph   including a female sailor apparently forced to wear a headscarf   is a quintessential example of  public curiosity  and would be interpreted as insulting throughout the Muslim world. (And if you don t think Iran is in a state of armed conflict against the United States, tell that to the families of hundreds of American soldiers who ve lost their lives to Iranians and Iranian-backed terrorists.)Female Sailor in the corner in this picture:The sight of members of the American military, disarmed and under Iranian control, is of enormous propaganda value in Iran s ongoing war against the United States. To its allies in the Middle East, the photo demonstrates Iran s strength   how many jihadist countries have had this many American servicemembers under their power?   and it demonstrates American weakness.Then there s this:  This time, the Americans were cooperative in proving their innocence, and they quickly accepted their faults without resistance,  the analyst, Hamidreza Taraghi, said in a phone interview. The Marines apologized for having strayed into Iranian waters. Never fear, John Kerry made friends with the Iranians, and that made all the difference: Also playing a role was the strong relationship that has developed between Mr. Kerry and the Iranian foreign minister, Mohammad Javad Zarif, during negotiations on the nuclear deal, Mr. Taraghi said.John Kerry and Zarif were on the phone during the past hours, and this helped the problem to be resolved quickly due to their direct contact,  he said.Nations that take illegal propaganda photos, crow about their seizure of American boats, confiscate part of their equipment, and then point to our allegedly admitted faults aren t  easing tensions,  they re flexing their muscles. I m glad our sailors and boats are back in American hands   minus, apparently, their GPS equipment   but once again Iran has thumbed its nose at the U.S., demonstrating that it does what it wants   whether it s testing missiles, launching rockets near U.S. warships, or taking, questioning, and photographing American sailors who (allegedly) stray into Iranian waters.Read more at: National Review",0
"Mental health professionals will now be allowed to openly diagnose Donald Trump.For the first time since 1973, a rule that prevents mental health professionals from publicly giving their expert opinion on the mental health of a public figure will no longer be enforced by the American Psychoanalytical Association.The rule was put in place after Barry Goldwater sued Fact Magazine for publishing a poll in which a majority of psychiatrists declared him mentally unfit to be president. Goldwater would go on to lose the presidential election of 1964.But ever since Trump declared his candidacy and began saying and doing insane things in public, many psychiatrists have openly defied the rule in order to inform Americans on his mental state.Fox News pundit Charles Krauthammer, who is also a board-certified psychiatrist, wrote a brutal diagnose of Trump s mental health last August. Trump s hypersensitivity and unedited, untempered Pavlovian responses are, shall we say, unusual in both ferocity and predictability. This is beyond narcissism. I used to think Trump was an 11-year-old, an undeveloped schoolyard bully. I was off by about 10 years. His needs are more primitive, an infantile hunger for approval and praise, a craving that can never be satisfied. He lives in a cocoon of solipsism where the world outside himself has value   indeed exists   only insofar as it sustains and inflates him. In addition, Dr. Drew Pinsky also expressed concerns about Trump s mental health. The question, though, is, are some of the reckless qualities that everyone is getting so disturbed about on the campaign going to be translated into office should he get elected? That s a pretty hard thing to predict. I don t know if this is just somebody playing politics, or is this somebody who really can t contain their impulses? When I hear people that are impulsive with their speech, I worry about hypomania and bipolar types of conditions. At the time, psychiatrists were warned to avoid diagnosing Trump without personally examining him first. But that has all changed.Six months into Trump s presidency, the American Psychoanalytical Association has given permission to their 3,500 members to do just that.And you can bet Trump s head is going to explode.Former APA president Dr. Prudence Gourguechon explained the decision to STAT News. We don t want to prohibit our members from using their knowledge responsibly since Trump s behavior is so different from anything we ve seen before,  Dr. Gouguechon said.Indeed, Americans need this knowledge now more than ever before as Trump continues to lash out at anyone who criticizes him and is even starting to throw members of his own administration under the bus. His emotions and behavior are so unpredictable that it is understandable that people would worry, especially considering that Trump has access to nuclear weapons.It s time for Americans and Congress to demand Trump undergo a mental health exam by a board-certified psychiatrist. Furthermore, it s time to invoke the 25th Amendment and declare Trump unfit to serve. This insanity has gone on long enough. America cannot continue to be led by an unstable narcissist. It s time to make America sane again.Featured image via Ralph Freso/Getty Images",0
"WASHINGTON (Reuters) - Wisconsin, Ohio, California and 10 other states said on Friday they were among 21 states that Russian government hackers targeted in an effort to sway the 2016 presidential election in favor of Donald Trump though no votes were changed. The Department of Homeland Security confirmed it had notified the states of the activity but declined to identify them. Russia has denied election meddling, and President Trump has denied any collusion with Russia. Alabama, Alaska, Colorado, Connecticut, Florida, Minnesota, Texas and Washington state also confirmed they were targeted by Russian hackers but said they were not successful. Arizona and Illinois confirmed last year that they were targets.  The Associated Press confirmed Iowa, Maryland, North Dakota, Pennsylvania, Delaware, Oregon, Oklahoma and Virginia were also targets, bringing the total states identified to 21. Those states did not immediately return messages seeking comment late Friday. “There remains no evidence that the Russians altered one vote or changed one registration,” said Judd Choate, president of the U.S. National Association of State Election Directors.  Wisconsin Elections Commission Administrator Michael Haas said Homeland Security told the states that “Russian government cyber actors” targeted state voter registration systems. Homeland Security officials have said that in most of the 21 states only preliminary activity was observed from hackers and a small number of networks were compromised. Some states had complained in June they had no idea if Russians had attempted to infiltrate their systems. California Secretary of State Alex Padilla said Friday that hackers had scanned state election systems but not breached the system. “It is completely unacceptable that it has taken DHS over a year to inform our office of Russian scanning of our systems, despite our repeated requests for information,” he said. Homeland Security spokesman Scott McConnell said in a statement the government believes “officials should be kept informed about cybersecurity risks to election infrastructure” but also wants to protect “the integrity of investigations and the confidentiality of system owners.” U.S. intelligence agencies have concluded the Kremlin orchestrated an operation that included hacking and online propaganda intended to help Trump win, Reuters reported in August. Senator Mark Warner, a Virginia Democrat who co-chairs the Senate Cybersecurity Caucus, said Friday in a statement it is “unacceptable that it took almost a year after the election to notify states that their elections systems were targeted.” He said officials must inform states of attempts to enter election systems “just as any homeowner would expect the alarm company to inform them of all break-in attempts, even if the burglar doesn’t actually get inside the house.” Colorado Secretary of State Wayne Williams said DHS told it that its systems were scanned in the weeks before the 2016 election. “A scan is similar to burglars jiggling the doors of a house and moving on when they realize the doors are locked,” the state said. Washington state’s top election official, Kim Wyman, said the state learned in 2016 of attempted intrusions from Russian internet addresses and immediately alerted the Federal Bureau of Investigation. The list of targets includes battleground states like Wisconsin, Ohio and Iowa, but other key states like Michigan said Friday they were told they were not targeted. It also included states that were not seriously contested like California and Texas.         Wisconsin was one of a handful of battleground Midwestern states that helped Trump win the presidency over Democratic rival Hillary Clinton. Trump carried the state by 22,748 votes, or about 0.8 of a percentage point. Many of the other states were not seriously in contention in the 2016 race. Several congressional committees are investigating and special counsel Robert Mueller is leading a separate probe into the Russia matter, including whether Moscow colluded with the Trump campaign.",1
"WASHINGTON (Reuters) - The latest version of a House Republican bill to replace Obamacare would limit who could receive tax credits to help purchase health insurance, Politico reported on Monday, in an effort to secure the support of the chamber’s conservative wing.  Congressional Republicans and President Donald Trump have repeatedly promised to repeal and replace former Democratic President Barack Obama’s signature domestic policy achievement but have publicly disagreed about the best way to do so. The House of Representatives is expected to unveil its legislation soon.  Under a Feb. 10 draft of the legislation made available to several news outlets, Republicans proposed offering an age-based refundable tax credit regardless of income level. That was resisted by conservatives who called it another entitlement program. Critics also said extremely wealthy people would receive the credit even though they do not need it.  In the most recent version of the bill, the tax credits would only be available to those within certain income levels, according to Politico. They would start to phase out for individuals earning $75,000 and households earning $150,000, and would be unavailable for individuals who earn more than $215,000, Politico reported.  Republicans had also initially proposed capping exemptions on employer-provided health coverage, a provision that drew the ire of some conservatives who said the bill would remove Obamacare’s taxes only to replace it with another.  According to Politico, the latest version of the bill would not include a cap. The bill also delays repealing several of Obamacare’s taxes until 2018, a year later than initially proposed, Politico reported.  ",1
"Spewing falsehoods has become the favorite pastime of Democrats It s really pitiful to watch  Last night, following the release of the Washington Post fake news on Trump and Russia, several videos immediately came out repeating the same fake news. It s uncanny that the media could be so coordinated in their reports on President Trump Of course, we believe there s something to that.Two  Congresscritters  have come out to call for the impeachment of President Trump .With ZERO evidence of ANY wrongdoing, it s laughable One of our favorites is Maxine Waters but this next Congressman runs a close second. Al Green claims Trump was  hobnobbing  with the Russians Haha!Congressman Al Green just released a statement on why he believes President Trump should be impeached. This statement is laughable. Was Al Green elected because of his name? Voters can be that way, ya know This guy is the definition of clueless! Who elects these brainiacs?Rep. Maxine Waters (D-CA) has suggested impeachment during TV interviews, but Green is the first member of Congress to formally call for impeachment hearings.Green said Trump s own public statements showed he fired Comey over the Russia investigation, which he said was grounds for impeachment:Waters and Green are a total joke! These are just two of the jokers running Washington. This is truly scary.",0
